epoch,train_loss,val_dice,val_aji,val_pq,val_sq,val_dq
1,0.397726,0.687876,0.370998,0.329651,0.689940,0.464749
2,0.331300,0.742447,0.465895,0.398256,0.689299,0.572667
3,0.317447,0.765653,0.501971,0.435525,0.689627,0.629327
4,0.308392,0.737970,0.494356,0.421422,0.686745,0.609092
5,0.310888,0.763488,0.500498,0.431361,0.690338,0.617180
6,0.304845,0.729346,0.479132,0.449359,0.691138,0.632325
7,0.304215,0.786208,0.506603,0.466773,0.720847,0.642905
8,0.290610,0.779526,0.513441,0.457464,0.707695,0.643034
9,0.295577,0.780907,0.504675,0.479845,0.729457,0.652175
10,0.287696,0.770865,0.528933,0.469393,0.709894,0.659304
11,0.287855,0.777083,0.518183,0.466602,0.712804,0.644248
12,0.280993,0.788457,0.526587,0.482629,0.725017,0.662621
13,0.292648,0.785481,0.503752,0.478726,0.731982,0.650703
14,0.290089,0.774705,0.512686,0.472386,0.712362,0.649456
15,0.283747,0.776954,0.503571,0.475367,0.720466,0.655859
16,0.272148,0.780836,0.526693,0.489575,0.720620,0.677059
17,0.274497,0.791234,0.525202,0.499763,0.719948,0.686694
18,0.276269,0.779365,0.523059,0.493089,0.719567,0.680887
19,0.269381,0.784026,0.532898,0.508474,0.728069,0.695628
20,0.272792,0.787993,0.523486,0.502434,0.732485,0.681558
21,0.277622,0.787468,0.550521,0.504950,0.712143,0.705675
22,0.270575,0.797585,0.556765,0.527695,0.727236,0.722884
23,0.264994,0.795222,0.535863,0.498764,0.725518,0.684657
24,0.267778,0.798112,0.557021,0.520159,0.728720,0.710728
25,0.263047,0.784003,0.529435,0.502651,0.719944,0.694624
26,0.269038,0.780994,0.535579,0.492239,0.706923,0.693134
27,0.269793,0.770864,0.510385,0.493283,0.708625,0.687265
28,0.270774,0.787725,0.531437,0.507956,0.721522,0.700417
29,0.260359,0.768262,0.508307,0.471970,0.706105,0.659714
30,0.259189,0.786366,0.531646,0.521265,0.728001,0.713586
31,0.260014,0.789448,0.543226,0.510891,0.713722,0.712648
32,0.266310,0.808856,0.559234,0.530794,0.736579,0.718529
33,0.261830,0.799715,0.561496,0.521120,0.724662,0.716214
34,0.257742,0.805772,0.567011,0.545816,0.734806,0.739962
35,0.259521,0.795397,0.570131,0.535134,0.725102,0.735895
36,0.268113,0.794738,0.564168,0.521076,0.719908,0.721140
37,0.258909,0.814080,0.559755,0.533515,0.732386,0.726113
38,0.259447,0.800842,0.549252,0.534874,0.739857,0.720922
39,0.261265,0.783801,0.548039,0.506351,0.711461,0.707629
40,0.259107,0.814020,0.568348,0.541252,0.732753,0.736619
41,0.251923,0.804527,0.572141,0.546675,0.732269,0.744660
42,0.256656,0.798497,0.540592,0.517478,0.729998,0.705080
43,0.251783,0.798011,0.553391,0.516622,0.729393,0.705580
44,0.251506,0.801727,0.562800,0.533872,0.734118,0.723703
45,0.260355,0.789482,0.544358,0.511990,0.727156,0.701172
46,0.253772,0.806224,0.557932,0.527666,0.730396,0.718606
47,0.244998,0.806191,0.572948,0.535474,0.731832,0.729397
48,0.245476,0.801631,0.563143,0.531600,0.724267,0.732359
49,0.257777,0.793564,0.562728,0.529273,0.728423,0.723602
50,0.247641,0.802595,0.569726,0.536955,0.727862,0.735100
51,0.248925,0.789695,0.543823,0.510136,0.724123,0.700696
52,0.248871,0.799034,0.570860,0.538934,0.724805,0.741163
53,0.256452,0.807071,0.569520,0.539185,0.728553,0.736631
54,0.241944,0.806981,0.568024,0.544719,0.738657,0.733557
55,0.248611,0.800091,0.557875,0.538845,0.732579,0.731963
56,0.244077,0.793930,0.560024,0.538942,0.727032,0.738344
57,0.250396,0.815999,0.591662,0.560962,0.740724,0.756061
58,0.241657,0.804174,0.568231,0.540082,0.727340,0.739759
59,0.246164,0.797678,0.549196,0.515662,0.732671,0.701258
60,0.237474,0.803550,0.564298,0.533629,0.727337,0.731348
61,0.242080,0.807820,0.583671,0.563894,0.742208,0.756263
62,0.235220,0.815266,0.578355,0.556975,0.747143,0.744480
63,0.243856,0.805046,0.582394,0.551940,0.734357,0.751403
64,0.236094,0.791695,0.540839,0.523316,0.737029,0.706960
65,0.241820,0.814908,0.579874,0.553349,0.737942,0.747747
66,0.245149,0.804536,0.562335,0.530763,0.737857,0.716574
67,0.244119,0.775430,0.526586,0.499153,0.719925,0.689233
68,0.239726,0.801804,0.560493,0.530033,0.728686,0.724739
69,0.239692,0.814594,0.592444,0.565786,0.751426,0.752412
70,0.237216,0.800070,0.562813,0.540981,0.743001,0.725976
71,0.239193,0.800184,0.581390,0.561425,0.737751,0.753396
72,0.242969,0.805165,0.563682,0.535609,0.737082,0.718446
73,0.244806,0.796942,0.562708,0.533371,0.731813,0.724766
74,0.239379,0.808298,0.585465,0.559606,0.743619,0.750800
75,0.237433,0.800617,0.574692,0.545911,0.740966,0.734139
76,0.244207,0.807690,0.579406,0.556575,0.743310,0.745658
77,0.232255,0.800507,0.564296,0.536706,0.740463,0.721815
78,0.232308,0.810639,0.580569,0.554183,0.743557,0.742184
79,0.235916,0.802608,0.571981,0.543915,0.741892,0.732375
80,0.234128,0.814664,0.595331,0.573527,0.752596,0.760096
81,0.236029,0.750715,0.537414,0.506278,0.702655,0.692828
82,0.239704,0.801479,0.571991,0.547174,0.739971,0.735334
83,0.235652,0.803781,0.574579,0.543892,0.739946,0.732131
84,0.242069,0.798849,0.564057,0.533183,0.735279,0.716911
85,0.226187,0.818881,0.594171,0.573197,0.750356,0.762635
86,0.231795,0.785241,0.546393,0.515299,0.734815,0.696029
87,0.225278,0.800523,0.575533,0.542919,0.741345,0.730524
88,0.227513,0.799331,0.565183,0.536457,0.742518,0.719687
89,0.227082,0.801127,0.579477,0.546249,0.741976,0.733231
90,0.231781,0.796687,0.564617,0.532060,0.741095,0.714762
91,0.226256,0.792993,0.544527,0.515830,0.731634,0.698888
92,0.231079,0.809837,0.581190,0.550758,0.742290,0.740386
93,0.229995,0.813891,0.595611,0.573796,0.750810,0.761901
94,0.223572,0.811526,0.589575,0.570921,0.750381,0.758738
95,0.229693,0.799161,0.573201,0.548038,0.738264,0.739843
96,0.222145,0.795977,0.567870,0.535680,0.737609,0.723996
97,0.224226,0.793684,0.562147,0.530104,0.738910,0.713551
98,0.231582,0.806795,0.582825,0.556221,0.747996,0.740336
99,0.226365,0.795291,0.570494,0.546485,0.743722,0.732423
100,0.230987,0.805640,0.579978,0.551872,0.743818,0.738847
101,0.230243,0.797816,0.572586,0.537812,0.738596,0.725274
102,0.231585,0.789692,0.552792,0.520785,0.732634,0.705634
103,0.230435,0.786391,0.546542,0.506720,0.728911,0.688682
104,0.228497,0.790596,0.555591,0.520195,0.729892,0.702260
105,0.227575,0.799313,0.561346,0.522599,0.733712,0.701726
106,0.221527,0.806176,0.576484,0.544251,0.742741,0.729543
107,0.224804,0.801789,0.585062,0.563517,0.748642,0.749911
108,0.231923,0.797836,0.569220,0.536188,0.736397,0.719019
109,0.225082,0.804206,0.580650,0.552747,0.742956,0.740847
110,0.226291,0.793401,0.559300,0.528790,0.738060,0.712432
111,0.225003,0.794989,0.565521,0.533007,0.743213,0.713177
112,0.224360,0.805255,0.579188,0.548078,0.742603,0.734529
113,0.226023,0.810114,0.589896,0.568392,0.748661,0.756920
114,0.223327,0.806126,0.581403,0.555628,0.746295,0.741155
115,0.223607,0.807468,0.581269,0.555783,0.745558,0.741923
116,0.222276,0.805438,0.589356,0.569853,0.751776,0.754802
117,0.221879,0.793694,0.558162,0.523958,0.738395,0.706181
118,0.225520,0.809095,0.582839,0.552568,0.746067,0.738831
119,0.227166,0.794210,0.562149,0.529138,0.738914,0.712574
120,0.220128,0.802965,0.574311,0.545271,0.743735,0.730206
